PCMC,Sant Tukaram Nagar,1.5,0,13.50
PCMC,Bhosari,3.0,1,13.50
PCMC,Kasarwadi,4.5,2,18.0
PCMC,Phugewadi,6.0,3,18.0
PCMC,Dapodi,7.5,4,22.50
PCMC,Khadki,9.0,5,22.50
PCMC,Shivaji Nagar,10.5,6,27.0
PCMC,Civil Court,12.0,7,27.0
PCMC,Budhwar Peth,13.5,8,27.0
PCMC,Mandai,15.0,9,27.0
PCMC,Swargate,16.5,10,27.0
PCMC,Vanaz,18.0,11,31.50
PCMC,Anand Nagar,19.5,12,31.50
PCMC,Ideal Colony,21.0,13,27.0
PCMC,Nal Stop,22.5,14,27.0
PCMC,Garware College,24.0,15,27.0
PCMC,Deccan Gymkhana,25.5,16,27.0
PCMC,Chhatrapati Sambhaji Udyan,27.0,17,27.0
PCMC,Civil Court,28.5,18,27.0
PCMC,Mangalwar Peth,30.0,19,27.0
PCMC,Pune Railway Station,31.5,20,27.0
PCMC,Ruby Hall Clinic,33.0,21,27.0
PCMC,Bund Garden,34.5,22,27.0
PCMC,Yerwada,36,23,27.0
PCMC,Kalyani Nagar,37.5,24,31.50
PCMC,Ramwadi,39,25,31.50
Sant Tukaram Nagar,PCMC,1.5,0,13.0
Sant Tukaram Nagar,Bhosari,1.5,0,13.0
Sant Tukaram Nagar,Kasarwadi,3.0,1,16.0
Sant Tukaram Nagar,Phugewadi,4.5,2,19.0
Sant Tukaram Nagar,Dapodi,6.0,3,22.0
Sant Tukaram Nagar,Khadki,7.5,4,25.0
Sant Tukaram Nagar,Shivaji Nagar,9.0,5,28.0
Sant Tukaram Nagar,Civil Court,10.5,6,31.0
Sant Tukaram Nagar,Budhwar Peth,12.0,7,34.0
Sant Tukaram Nagar,Mandai,13.5,8,37.0
Sant Tukaram Nagar,Swargate,15.0,9,40.0
Sant Tukaram Nagar,Vanaz,16.5,10,43.0
Sant Tukaram Nagar,Anand Nagar,18.0,11,46.0
Sant Tukaram Nagar,Ideal Colony,19.5,12,49.0
Sant Tukaram Nagar,Nal Stop,21.0,13,52.0
Sant Tukaram Nagar,Garware College,22.5,14,55.0
Sant Tukaram Nagar,Deccan Gymkhana,24.0,15,58.0
Sant Tukaram Nagar,Chhatrapati Sambhaji Udyan,25.5,16,61.0
Sant Tukaram Nagar,Civil Court Aqua,27.0,17,64.0
Sant Tukaram Nagar,Mangalwar Peth,28.5,18,67.0
Sant Tukaram Nagar,Pune Railway Station,30.0,19,70.0
Sant Tukaram Nagar,Ruby Hall Clinic,31.5,20,73.0
Bhosari,PCMC,3.0,1,16.0
Bhosari,Sant Tukaram Nagar,1.5,0,13.0
Bhosari,Kasarwadi,1.5,0,13.0
Bhosari,Phugewadi,3.0,1,16.0
Bhosari,Dapodi,4.5,2,19.0
Bhosari,Khadki,6.0,3,22.0
Bhosari,Shivaji Nagar,7.5,4,25.0
Bhosari,Civil Court,9.0,5,28.0
Bhosari,Budhwar Peth,10.5,6,31.0
Bhosari,Mandai,12.0,7,34.0
Bhosari,Swargate,13.5,8,37.0
Bhosari,Vanaz,15.0,9,40.0
Bhosari,Anand Nagar,16.5,10,43.0
Bhosari,Ideal Colony,18.0,11,46.0
Bhosari,Nal Stop,19.5,12,49.0
Bhosari,Garware College,21.0,13,52.0
Bhosari,Deccan Gymkhana,22.5,14,55.0
Bhosari,Chhatrapati Sambhaji Udyan,24.0,15,58.0
Bhosari,Civil Court Aqua,25.5,16,61.0
Bhosari,Mangalwar Peth,27.0,17,64.0
Bhosari,Pune Railway Station,28.5,18,67.0
Bhosari,Ruby Hall Clinic,30.0,19,70.0
Kasarwadi,PCMC,4.5,2,19.0
Kasarwadi,Sant Tukaram Nagar,3.0,1,16.0
Kasarwadi,Bhosari,1.5,0,13.0
